code,name,id
en,English,1
ko,Korean,2
fr,French,3
ja,Japanese,4
it,Italian,5
es,Spanish,6
pl,Polish,7
pt,Portuguese,8
hi,Hindi,9
tr,Turkish,10
da,Danish,11
de,German,12
cn,Unknown,13
id,Indonesian,14
zh,Chinese,15
sv,Swedish,16
el,Modern Greek (1453-),17
ru,Russian,18
sr,Serbian,19
fa,Persian,20
th,Thai,21
ar,Arabic,22
no,Norwegian,23
nb,Norwegian Bokmål,24
fi,Finnish,25
te,Telugu,26
la,Latin,27
nl,Dutch,28
hu,Hungarian,29
he,Hebrew,30
is,Icelandic,31
ro,Romanian,32
gl,Galician,33
uk,Ukrainian,34
eu,Basque,35
et,Estonian,36
bs,Bosnian,37
bn,Bengali,38
xx,Unknown,39
sh,Serbo-Croatian,40
km,Khmer,41
cs,Czech,42
tn,Tswana,43
ml,Malayalam,44
mk,Macedonian,45
ga,Irish,46
hy,Armenian,47
ku,Kurdish,48
ka,Georgian,49
ta,Tamil,50
kn,Kannada,51
tl,Tagalog,52
vi,Vietnamese,53
ca,Catalan,54
dz,Dzongkha,55
sw,Swahili (macrolanguage),56
wo,Wolof,57
kk,Kazakh,58
sk,Slovak,59
mi,Maori,60
lv,Latvian,61
bo,Tibetan,62
mn,Mongolian,63
ps,Pushto,64
lt,Lithuanian,65
ur,Urdu,66
sl,Slovenian,67
sc,Sardinian,68
af,Afrikaans,69
hr,Croatian,70
se,Northern Sami,71
iu,Inuktitut,72
ms,Malay (macrolanguage),73
bm,Bambara,74
mr,Marathi,75
cy,Welsh,76
lo,Lao,77
am,Amharic,78
xh,Xhosa,79
qu,Quechua,80
yi,Yiddish,81
yo,Yoruba,82
bg,Bulgarian,83
sq,Albanian,84
pa,Panjabi,85
eo,Esperanto,86
gu,Gujarati,87
zu,Zulu,88
st,Southern Sotho,89
ne,Nepali (macrolanguage),90
ak,Akan,91
mt,Maltese,92
rw,Kinyarwanda,93
ay,Aymara,94
ln,Lingala,95
as,Assamese,96
mo,Unknown,97
so,Somali,98
ky,Kirghiz,99
ab,Abkhazian,100
kl,Kalaallisut,101
az,Azerbaijani,102
jv,Javanese,103
fo,Faroese,104
su,Sundanese,105
my,Burmese,106
ks,Kashmiri,107
tg,Tajik,108
ht,Haitian,109
lb,Luxembourgish,110
si,Sinhala,111
ff,Fulah,112
fy,Western Frisian,113
sm,Samoan,114
ha,Hausa,115
om,Oromo,116
or,Oriya (macrolanguage),117
ny,Nyanja,118
gd,Scottish Gaelic,119
cr,Cree,120
mg,Malagasy,121
be,Belarusian,122
tw,Twi,123
ig,Igbo,124
os,Ossetian,125
nv,Navajo,126
sa,Sanskrit,127
ug,Uighur,128
uz,Uzbek,129
tt,Tatar,130
rm,Romansh,131
gn,Guarani,132
ie,Interlingue,133
sg,Sango,134
dv,Dhivehi,135
nd,North Ndebele,136
ty,Tahitian,137
ia,Interlingua (International Auxiliary Language Association),138
ba,Bashkir,139
ce,Chechen,140
sd,Sindhi,141
fj,Fijian,142
sn,Shona,143
tk,Turkmen,144
ki,Kikuyu,145
rn,Rundi,146
gv,Manx,147
nn,Norwegian Nynorsk,148
kg,Kongo,149
lg,Ganda,150
ch,Chamorro,151
Unknown,Unknown,152
